,,,,,,,,,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019, 5 Year PNA , 5 Year PNA ,5 Year PNA, 20 Year PNA , 20 Year PNA ,20 Year PNA,,,,,
PENNSYLVANIA AVENUE-WORTMAN AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),336,17.30%,122.0,50.0,11.75,0," $47,889,728 "," $142,529 ",36%," $79,726,655 "," $237,282 ",59%,,,,,
PINK,,,,,YES,Partial Modernization (Single Component Replacement),"1,500",14.28%,177.4,113.2,14.35,0," $243,278,484 "," $162,186 ",41%," $315,222,925 "," $210,149 ",53%,,,,,
QUEENSBRIDGE SOUTH,,,,,YES,Partial Modernization (Single Component Replacement),"1,604",15.66%,167.2,66.1,11.42,0," $299,425,311 "," $186,674 ",47%," $390,078,947 "," $243,191 ",61%,,,,,
REHAB PROGRAM (WISE REHAB),,,,,YES,Partial Modernization (Single Component Replacement),40,73.15%,187.2,23.1,12.82,0," $7,953,744 "," $198,844 ",50%," $10,657,363 "," $266,434 ",67%,,,,,
ROBBINS PLAZA,,,,,YES,Partial Modernization (Single Component Replacement),150,53.96%,115.4,4.0,0.00,0," $17,836,113 "," $118,907 ",30%," $30,486,442 "," $203,243 ",51%,,,,,
ROBINSON,,,,,YES,Partial Modernization (Single Component Replacement),189,35.07%,403.7,37.4,12.57,0," $37,173,596 "," $196,686 ",49%," $51,541,664 "," $272,707 ",68%,,,,,
ROOSEVELT I,,,,,YES,Partial Modernization (Single Component Replacement),763,15.34%,163.0,53.6,12.29,0," $120,445,658 "," $157,858 ",39%," $193,947,406 "," $254,191 ",64%,,,,,
ROOSEVELT II,,,,,YES,Partial Modernization (Single Component Replacement),342,16.43%,120.9,64.3,12.35,0," $44,793,056 "," $130,974 ",33%," $82,333,768 "," $240,742 ",60%,,,,,
RUTGERS,,,,,YES,Partial Modernization (Single Component Replacement),721,17.31%,121.5,29.4,9.19,0," $96,821,825 "," $134,288 ",34%," $164,162,016 "," $227,687 ",57%,,,,,
SAINT MARY'S PARK,,,,,YES,Partial Modernization (Single Component Replacement),"1,007",9.68%,172.5,76.9,13.07,0," $213,578,468 "," $212,094 ",53%," $242,091,292 "," $240,408 ",60%,,,,,
SARATOGA VILLAGE,,,,,YES,Partial Modernization (Single Component Replacement),125,27.90%,183.2,54.4,15.32,0," $22,521,461 "," $180,172 ",45%," $33,424,639 "," $267,397 ",67%,,,,,
SHELTON HOUSE,,,,,YES,Partial Modernization (Single Component Replacement),155,68.63%,75.2,4.6,0.00,0," $17,887,561 "," $115,404 ",29%," $32,508,780 "," $209,734 ",52%,,,,,
STANTON STREET,,,,,YES,Partial Modernization (Single Component Replacement),13,72.00%,15.4,0.0,0.00,0," $2,676,255 "," $205,866 ",51%," $7,698,849 "," $592,219 ",148%,,,,,
STUYVESANT GARDENS II,,,,,YES,Partial Modernization (Single Component Replacement),150,23.49%,54.4,6.1,0.00,0," $14,613,322 "," $97,422 ",24%," $30,973,713 "," $206,491 ",52%,,,,,
TAFT,,,,,YES,Partial Modernization (Single Component Replacement),"1,470",19.63%,158.0,79.3,10.49,0," $246,995,044 "," $168,024 ",42%," $353,313,676 "," $240,349 ",60%,,,,,
TAYLOR STREET-WYTHE AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),525,31.24%,84.9,31.9,12.07,0," $84,586,068 "," $161,116 ",40%," $139,015,520 "," $264,791 ",66%,,,,,
THOMAS APARTMENTS,,,,,YES,Partial Modernization (Single Component Replacement),87,70.57%,65.5,10.3,0.00,0," $9,354,186 "," $107,519 ",27%," $19,111,944 "," $219,678 ",55%,,,,,
TILDEN,,,,,YES,Partial Modernization (Single Component Replacement),998,14.26%,110.5,55.5,20.12,0," $176,090,937 "," $176,444 ",44%," $231,340,115 "," $231,804 ",58%,,,,,
TOMPKINS,,,,,YES,Partial Modernization (Single Component Replacement),"1,046",18.08%,167.0,86.3,14.64,0," $197,636,599 "," $188,945 ",47%," $270,422,010 "," $258,530 ",65%,,,,,
TWIN PARKS EAST (SITE 9),,,,,YES,Partial Modernization (Single Component Replacement),219,15.93%,119.9,17.6,0.00,0," $21,924,323 "," $100,111 ",25%," $46,106,889 "," $210,534 ",53%,,,,,
TWO BRIDGES URA (SITE 7),,,,,YES,Partial Modernization (Single Component Replacement),250,41.95%,190.0,65.1,8.50,0," $41,092,870 "," $164,371 ",41%," $56,599,282 "," $226,397 ",57%,,,,,
UPACA (SITE 5),,,,,YES,Partial Modernization (Single Component Replacement),200,22.53%,80.0,15.6,0.00,0," $29,740,795 "," $148,704 ",37%," $41,170,934 "," $205,855 ",51%,,,,,
UPACA (SITE 6),,,,,YES,Partial Modernization (Single Component Replacement),150,22.77%,166.4,5.5,0.00,0," $13,809,393 "," $92,063 ",23%," $28,674,806 "," $191,165 ",48%,,,,,
VAN DYKE II,,,,,YES,Partial Modernization (Single Component Replacement),112,22.22%,47.7,12.6,0.00,0," $14,079,515 "," $125,710 ",31%," $22,815,578 "," $203,711 ",51%,,,,,
VANDALIA AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),293,13.22%,125.8,9.8,0.00,0," $41,680,415 "," $142,254 ",36%," $64,655,791 "," $220,668 ",55%,,,,,
VLADECK,,,,,YES,Partial Modernization (Single Component Replacement),"1,531",30.22%,69.5,54.7,8.63,0," $237,184,947 "," $154,922 ",39%," $343,501,675 "," $224,364 ",56%,,,,,
VLADECK II,,,,,YES,Partial Modernization (Single Component Replacement),240,29.74%,216.2,59.1,8.40,0," $46,747,303 "," $194,780 ",49%," $66,190,163 "," $275,792 ",69%,,,,,
WAGNER,,,,,YES,Partial Modernization (Single Component Replacement),"2,162",12.85%,193.9,72.7,11.36,0," $333,178,626 "," $154,107 ",39%," $518,968,737 "," $240,041 ",60%,,,,,
WEST BRIGHTON I,,,,,YES,Partial Modernization (Single Component Replacement),490,17.89%,139.8,64.8,20.33,0," $80,091,428 "," $163,452 ",41%," $141,235,695 "," $288,236 ",72%,,,,,
WEST BRIGHTON II,,,,,YES,Partial Modernization (Single Component Replacement),144,36.99%,149.4,14.5,0.00,0," $20,059,716 "," $139,304 ",35%," $31,260,344 "," $217,086 ",54%,,,,,
WEST FARMS ROAD REHAB,,,,,YES,Partial Modernization (Single Component Replacement),208,67.23%,39.8,0.5,15.12,0," $31,969,419 "," $153,699 ",38%," $59,329,091 "," $285,236 ",71%,,,,,
WEST FARMS SQUARE CONVENTIONAL,,,,,YES,Partial Modernization (Single Component Replacement),20,67.26%,75.0,0.0,15.00,0," $3,455,785 "," $172,789 ",43%," $6,017,688 "," $300,884 ",75%,,,,,
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,,,,,YES,Partial Modernization (Single Component Replacement),148,26.28%,261.0,21.2,0.00,0," $17,893,684 "," $120,903 ",30%," $33,891,262 "," $228,995 ",57%,,,,,
WHITE,,,,,YES,Partial Modernization (Single Component Replacement),248,66.25%,77.3,25.2,0.00,0," $33,018,469 "," $133,139 ",33%," $51,230,267 "," $206,574 ",52%,,,,,
WHITMAN,,,,,YES,Partial Modernization (Single Component Replacement),"1,659",19.49%,170.7,71.9,13.35,0," $257,502,380 "," $155,215 ",39%," $424,862,273 "," $256,095 ",64%,,,,,
WOODSON,,,,,YES,Partial Modernization (Single Component Replacement),407,17.47%,48.9,7.7,0.00,0," $44,604,662 "," $109,594 ",27%," $74,782,390 "," $183,741 ",46%,,,,,
WSUR (BROWNSTONES),,,,,YES,Partial Modernization (Single Component Replacement),236,61.24%,272.3,52.3,4.72,0," $55,865,628 "," $236,719 ",59%," $74,439,359 "," $315,421 ",79%,,,,,
WSUR (SITE B) 74 WEST 92ND STREET,,,,,YES,Partial Modernization (Single Component Replacement),168,52.34%,147.6,32.1,9.09,0," $25,908,200 "," $154,215 ",39%," $42,599,181 "," $253,567 ",63%,,,,,
WSUR (SITE C) 589 AMSTERDAM AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),158,31.40%,166.7,66.0,10.97,0," $24,259,130 "," $153,539 ",38%," $34,820,208 "," $220,381 ",55%,,,,,
WYCKOFF GARDENS,,,,,YES,Partial Modernization (Single Component Replacement),529,12.32%,122.4,88.3,11.81,0," $72,322,607 "," $136,716 ",34%," $120,153,741 "," $227,134 ",57%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
<GRAND TOTAL>,,,,,,,"176,458", ,,,,," $31,799,700,958 ",,," $45,256,955,047 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
